-0.999913247;;-0.999921672;;;-0.999913247
-0.999864449;;-0.999877614;;;-0.999864449
-0.999804808;;-0.999823765;;;-0.999804808
-0.999734326;;-0.999760127;;;-0.999734326
-0.999653001;;-0.999686701;;;-0.999653001
-0.999560837;;-0.999603486;;;-0.999560837
-0.999457832;;-0.999510484;;;-0.999457832
-0.999343989;;-0.999407696;;;-0.999343989
-0.999219309;;-0.999295122;;;-0.999219309
-0.999083793;;-0.999172765;;;-0.999083793
-0.998937443;;-0.999040624;;;-0.998937443
-0.99878026;;-0.998898701;;;-0.99878026
-0.998612246;;-0.998746999;;;-0.998612246
-0.998433403;;-0.998585517;;;-0.998433403
-0.998243732;;-0.998414258;;;-0.998243732
-0.998043236;;-0.998233224;;;-0.998043236
-0.997831917;;-0.998042415;;;-0.997831917
-0.997609777;;-0.997841835;;;-0.997609777
-0.997376818;;-0.997631485;;;-0.997376818
-0.997133044;;-0.997411367;;;-0.997133044
-0.996878456;;-0.997181483;;;-0.996878456
-0.996613058;;-0.996941835;;;-0.996613058
-0.996336853;;-0.996692427;;;-0.996336853
-0.996049843;;-0.996433259;;;-0.996049843
-0.995752031;;-0.996164336;;;-0.995752031
-0.995443421;;-0.995885659;;;-0.995443421
-0.995124016;;-0.995597231;;;-0.995124016
-0.99479382;;-0.995299055;;;-0.99479382
-0.994452836;;-0.994991134;;;-0.994452836
-0.994101067;;-0.994673471;;;-0.994101067
-0.993738519;;-0.994346069;;;-0.993738519
-0.993365194;;-0.994008931;;;-0.993365194
-0.992981096;;-0.993662061;;;-0.992981096
-0.99258623;;-0.993305462;;;-0.99258623
-0.992180601;;-0.992939137;;;-0.992180601
-0.991764211;;-0.99256309;;;-0.991764211
-0.991337067;;-0.992177325;;;-0.991337067
-0.990899173;;-0.991781846;;;-0.990899173
-0.990450533;;-0.991376655;;;-0.990450533
-0.989991152;;-0.990961759;;;-0.989991152
-0.989521035;;-0.990537159;;;-0.989521035
-0.989040187;;-0.990102861;;;-0.989040187
-0.988548614;;-0.989658869;;;-0.988548614
-0.988046321;;-0.989205187;;;-0.988046321
-0.987533314;;-0.988741819;;;-0.987533314
-0.987009597;;-0.988268771;;;-0.987009597
-0.986475176;;-0.987786046;;;-0.986475176
-0.985930058;;-0.98729365;;;-0.985930058
-0.985374248;;-0.986791587;;;-0.985374248
-0.984807753;;-0.986279863;;;-0.984807753
-0.984230578;;-0.985758481;;;-0.984230578
-0.98364273;;-0.985227448;;;-0.98364273
-0.983044214;;-0.984686769;;;-0.983044214
-0.982435038;;-0.984136448;;;-0.982435038
-0.981815209;;-0.983576491;;;-0.981815209
-0.981184732;;-0.983006905;;;-0.981184732
-0.980543615;;-0.982427693;;;-0.980543615
-0.979891865;;-0.981838862;;;-0.979891865
-0.979229488;;-0.981240419;;;-0.979229488
-0.978556492;;-0.980632367;;;-0.978556492
-0.977872885;;-0.980014714;;;-0.977872885
-0.977178673;;-0.979387466;;;-0.977178673
-0.976473864;;-0.978750629;;;-0.976473864
-0.975758466;;-0.978104208;;;-0.975758466
-0.975032487;;-0.977448211;;;-0.975032487
-0.974295934;;-0.976782643;;;-0.974295934
-0.973548815;;-0.976107512;;;-0.973548815
-0.972791139;;-0.975422823;;;-0.972791139
-0.972022914;;-0.974728584;;;-0.972022914
-0.971244148;;-0.974024801;;;-0.971244148
-0.970454849;;-0.973311482;;;-0.970454849
-0.969655027;;-0.972588632;;;-0.969655027
-0.968844689;;-0.97185626;;;-0.968844689
-0.968023844;;-0.971114373;;;-0.968023844
-0.967192502;;-0.970362977;;;-0.967192502
-0.966350672;;-0.96960208;;;-0.966350672
-0.965498362;;-0.96883169;;;-0.965498362
-0.964635582;;-0.968051814;;;-0.964635582
-0.963762341;;-0.967262459;;;-0.963762341
-0.962878649;;-0.966463634;;;-0.962878649
-0.961984515;;-0.965655346;;;-0.961984515
-0.961079949;;-0.964837603;;;-0.961079949
-0.96016496;;-0.964010414;;;-0.96016496
-0.95923956;;-0.963173786;;;-0.95923956
-0.958303757;;-0.962327727;;;-0.958303757
-0.957357561;;-0.961472246;;;-0.957357561
-0.956400984;;-0.960607351;;;-0.956400984
-0.955434036;;-0.95973305;;;-0.955434036
