points : 1024
rounding: 32
-0.999998885;;;-0.941924819;;;;;;;;r100;-0.999998885;;r150;-0.941924819;;r80;-0.999998926;;r200;-0.999998639;;r250;-0.999998484
-0.999989967;;;-0.940813821;;;;;;;;;-0.999989967;;;-0.940813821;;;-0.999990338;;;-0.999987749;;;-0.999986353
-0.999972131;;;-0.939692621;;;;;;;;;-0.999972131;;;-0.939692621;;;-0.999973161;;;-0.999965969;;;-0.999962092
-0.999945378;;;-0.93856123;;;;;;;;;-0.999945378;;;-0.93856123;;;-0.999947397;;;-0.9999333;;;-0.9999257
-0.999909706;;;-0.937419661;;;;;;;;;-0.999909706;;;-0.937419661;;;-0.999913044;;;-0.999889741;;;-0.999877179
-0.999865118;;;-0.936267927;;;;;;;;;-0.999865118;;;-0.936267927;;;-0.999870104;;;-0.999835294;;;-0.999816528
-0.999811613;;;-0.935106039;;;;;;;;;-0.999811613;;;-0.935106039;;;-0.999818576;;;-0.999769959;;;-0.999743749
-0.999749191;;;-0.933934011;;;;;;;;;-0.999749191;;;-0.933934011;;;-0.999758462;;;-0.999693736;;;-0.999658843
-0.999677854;;;-0.932751854;;;;;;;;;-0.999677854;;;-0.932751854;;;-0.999689762;;;-0.999606626;;;-0.99956181
-0.999597602;;;-0.931559583;;;;;;;;;-0.999597602;;;-0.931559583;;;-0.999612475;;;-0.999508631;;;-0.999452651
-0.999508435;;;-0.93035721;;;;;;;;;-0.999508435;;;-0.93035721;;;-0.999526604;;;-0.999399752;;;-0.999331368
-0.999410354;;;-0.929144747;;;;;;;;;-0.999410354;;;-0.929144747;;;-0.999432149;;;-0.999279989;;;-0.999197963
-0.999303361;;;-0.927922209;;;;;;;;;-0.999303361;;;-0.927922209;;;-0.99932911;;;-0.999149343;;;-0.999052437
-0.999187456;;;-0.926689607;;;;;;;;;-0.999187456;;;-0.926689607;;;-0.999217488;;;-0.999007818;;;-0.998894792
-0.99906264;;;-0.925446957;;;;;;;;;-0.99906264;;;-0.925446957;;;-0.999097285;;;-0.998855413;;;-0.998725029
-0.998928915;;;-0.924194271;;;;;;;;;-0.998928915;;;-0.924194271;;;-0.998968501;;;-0.99869213;;;-0.998543151
-0.998786281;;;-0.922931562;;;;;;;;;-0.998786281;;;-0.922931562;;;-0.998831137;;;-0.998517972;;;-0.99834916
-0.99863474;;;-0.921658845;;;;;;;;;-0.99863474;;;-0.921658845;;;-0.998685196;;;-0.99833294;;;-0.998143058
-0.998474293;;;-0.920376133;;;;;;;;;-0.998474293;;;-0.920376133;;;-0.998530677;;;-0.998137036;;;-0.997924848
